Grain_products;Category;Subcategory;Group;average_weight;SDF_Hemicellulose;SDF_Pectin;ISD_Hemicellulose;ISD_Cellulose;ISD_Pectin;ISD_lignin;RS1;RS2;RS3;Chitin;Fructan;B_glucan
Bagel;Diet;Bread;Bagel;85;0;0;3,251128;1,403644;0;0,88768;0,737884;0;0;0;1,625564;0,349524
Banana bread;Diet;Bread;Banana;50;0;0;0,675072;0,291456;0;0,18432;0,153216;0;0;0;0,337536;0,072576
Bread (multigrain) ;Diet;Bread;Multigrain;50;0;0;1,098956;0,442513;0;0,26224;0,293881;0;0;0;0,571227;0,138383
Bread (white wheat) ;Diet;Bread;White_wheat;50;0;0;1,718738;0,742049;0;0,46928;0,390089;0;0;0;0,859369;0,184779
Bread (light brown wheat) ;Diet;Bread;Brown_wheat;50;0;0;1,718738;0,742049;0;0,46928;0,390089;0;0;0;0,859369;0,184779
Bread (whole grain wheat) ;Diet;Bread;Grain_wheat;50;0;0;1,258818;0,434639;0;0,21488;0,437159;0;0;0;0,703499;0,204269
Bread (rye) ;Diet;Bread;Rye;50;0;0;1,901053;0,617294;0;0,27824;0,71459;0;0;0;1,089027;0,333244
Bread (whole rye grain) ;Diet;Bread;Whole_rye_grain;50;0;0;1,901053;0,617294;0;0,27824;0,71459;0;0;0;1,089027;0,333244
Bread (white barley) ;Diet;Bread;White_barley;40;0;0;1,617125;0,325125;0;0;0,886125;0;0;0;1,0625;0,410125
Bread (light brown barley);Diet;Bread;Brown_barley;50;0;0;1,617125;0,325125;0;0;0,886125;0;0;0;1,0625;0,410125
Bread (whole grain barley);Diet;Bread;Grain_barley;50;0;0;1,617125;0,325125;0;0;0,886125;0;0;0;1,0625;0,410125
Bread (white sourdough);Diet;Bread;White_sourdough;50;0;0;1,566964;0,676522;0;0,42784;0,355642;0;0;0;0,783482;0,168462
Bread (light brown sourdough);Diet;Bread;Light_brown_sourdough;50;0;0;1,566964;0,676522;0;0,42784;0,355642;0;0;0;0,783482;0,168462
Bread (whole grain sourdough);Diet;Bread;Whole_grain;50;0;0;1,566964;0,676522;0;0,42784;0,355642;0;0;0;0,783482;0,168462
Corn bread;Diet;Bread;Corn;50;0;0;1,167644;0,565617;0;0,30928;0,579125;0;0;0;0,778057;0,346979
Waldcorn bread;Diet;Bread;Waldcorn;50;0;0;1,098956;0,442513;0;0,26224;0,293881;0;0;0;0,571227;0,138383
abbey bread;Diet;Bread;Abbey_bread;50;0;0;1,901053;0,617294;0;0,27824;0,71459;0;0;0;1,089027;0,333244
Croissant/other pastries;Diet;Bread;Croissant;50;0;0;1,612672;0,696256;0;0,44032;0,366016;0;0;0;0,806336;0,173376
Donut;Diet;Bread;Donut;55;0;0;2,051;0,8855;0;0,56;0,4655;0;0;0;1,0255;0,2205
Focaccia;Diet;Bread;Focaccia;350;0;0;11,55592;4,98916;0;3,1552;2,62276;0;0;0;5,77796;1,24236
French bread;Diet;Bread;French_bread;250;0;0;8,497;3,6685;0;2,32;1,9285;0;0;0;4,2485;0,9135
Gluten free bread;Diet;Bread;Gluten_free_bread;50;0;0;0,063125;0,085;0;0;0,66125;0;0;0;0,296875;0,25
Naan;Diet;Bread;Naan;130;0;0;2,76006;1,19163;0;0,7536;0,62643;0;0;0;1,38003;0,29673
Paratha;Diet;Bread;Paratha;32;0;0;1,21302;0,52371;0;0,3312;0,27531;0;0;0;0,60651;0,13041
Pita bread;Diet;Bread;Pita;60;0;0;2,04514;0,88297;0;0,5584;0,46417;0;0;0;1,02257;0,21987
Pizza bread/dough;Diet;Bread;Pizza;250;0;0;8,249122;3,561481;0;2,25232;1,872241;0;0;0;4,124561;0,886851
Pretzel;Diet;Bread;Pretzel;85;0;0;3,253472;1,404656;0;0,88832;0,738416;0;0;0;1,626736;0,349776
Raisin bread /Melk brood;Diet;Bread;Raisin;50;0;0;1,29799;0,560395;0;0,3544;0,294595;0;0;0;0,648995;0,139545
Sandwich;Diet;Bread;Sandwich;48;0;0;1,953138;0,843249;0;0,53328;0,443289;0;0;0;0,976569;0,209979
spelt bread;Diet;Bread;Spelt;40;0;0;1,375928;0,594044;0;0,37568;0,312284;0;0;0;0,687964;0,147924
tortilla;Diet;Bread;Tortilla;63;0;0;0,99287;0,55701;0;0,2512;0,88091;0;0;0;0,90181;0,56891
danish;Diet;Bread;danish;50;0;0;1,671272;0,721556;0;0,45632;0,379316;0;0;0;0,835636;0,179676
Currant bun;Diet;Bread;Currant_bun;50;0;0;1,671272;0,721556;0;0,45632;0,379316;0;0;0;0,835636;0,179676
Cornflakes;Diet;Cereals;Cornflakes;30;0;0;0,093;0,204;0;0;0,858;0;0;0;0,564;0,6
Granola;Diet;Cereals;Granola;47;0;0;1,05656;0,27448;0;0;0,13912;0;0;0;0,1316;1,92888
Muesli;Diet;Cereals;Meusli;30;0;0;1,254225;0,3318;0;0,084;0,5271;0;0;0;0,6972;0,50505
Oatmeal;Diet;Cereals;Oatmeal;32;0;0;0,8992;0,2336;0;0;0,1184;0;0;0;0,112;1,6416
Puffed rice;Diet;Cereals;Puffed_rice;32;0;0;0,0416;0;0;0;0,5184;0;0;0;0,1056;0
Puffed wheat;Diet;Cereals;Puffed_wheat;32;0;0;1,8752;0,8096;0;0,512;0,4256;0;0;0;0,9376;0,2016
Riceflakes;Diet;Cereals;Rice_flakes;125;0;0;0,1625;0;0;0;2,025;0;0;0;0,4125;0
Shredded wheat;Diet;Cereals;Grain_cereal;37,5;0;0;2,1975;0,94875;0;0,6;0,49875;0;0;0;1,09875;0,23625
Sugar frosted cornflakes;Diet;Cereals;Frosted_cornflakes;30;0;0;0,093;0,204;0;0;0,858;0;0;0;0,564;0,6
wheat flakes;Diet;Cereals;Wheat_flakes;30;0;0;1,758;0,759;0;0,48;0,399;0;0;0;0,879;0,189
Honey loops;Diet;Cereals;Honey_loops;30;0;0;0,093;0,204;0;0;0,858;0;0;0;0,564;0,6
Barley;Diet;Pasta;Barley;100;0;0;7,61;1,53;0;0;4,17;0;0;0;5;1,93
Bulgur;Diet;Pasta;Bulgur;100;0;0;5,86;2,53;0;1,6;1,33;0;0;0;2,93;0,63
Couscous;Diet;Pasta;Couscous;100;0;0;5,86;2,53;0;1,6;1,33;0;0;0;2,93;0,63
Maize;Diet;Pasta;Maize;100;0;0;0,31;0,68;0;0;2,86;0;0;0;1,88;2
Pasta (wheat);Diet;Pasta;Wheat;100;0;0;5,86;2,53;0;1,6;1,33;0;0;0;2,93;0,63
Pasta made of beans ;Diet;Pasta;Beans;100;0,0048;0,0048;0,0096;0,0504;0,0072;0,0024;0,05592;0;0;0;0;0
Pasta made of lentils ;Diet;Pasta;Lentils;100;0,0214;0,0214;0,0428;0,2247;0,0321;0,0321;0,24931;0;0;0;0;0
Quinoa;Diet;Pasta;Quinoa;100;0;0;41;52;4,7;1,7;0;0;0;0;0;0
Rice;Diet;Pasta;Rice;100;0;0;0,13;0;0;0;1,62;0;0;0;0,33;0
Sorghum;Diet;Pasta;Sorghum;100;0;0;0,31;0,68;0;0;2,86;0;0;0;1,88;2
Spelt couscous;Diet;Pasta;Spelt_couscous;100;0;0;5,86;2,53;0;1,6;1,33;0;0;0;2,93;0,63
Spelt pasta;Diet;Pasta;Spelt;100;0;0;5,86;2,53;0;1,6;1,33;0;0;0;2,93;0,63
Whole grain couscous;Diet;Pasta;Whole_grain_couscous;100;0;0;5,86;2,53;0;1,6;1,33;0;0;0;2,93;0,63
Whole grain pasta;Diet;Pasta;Whole_grain;100;0;0;5,86;2,53;0;1,6;1,33;0;0;0;2,93;0,63
Polenta;Diet;Pasta;Polenta;100;0;0;0,31;0,68;0;0;2,86;0;0;0;1,88;2
