Vegetables;Category;Subcategory;Group;Average_weight;Amount_of_fibre_gr/100gr;SDF_Hemicellulose;SDF_Pectin;ISD_Hemicellulose;ISD_Cellulose;ISD_Pectin;ISD_lignin;RS1;RS2;RS3;Chitin;Fructan
pea/doperwt;Diet;Vegetables;Pea;2;5,7;0,2;0,2;0,4;2,1;0,3;0,1;2,33;0;0;0;0
snow peas/ peultjes;Diet;Vegetables;Snow_peas;2,5;2,4;0,2;0,2;0,4;2,1;0,3;0,1;2,33;0;0;0;0
lentils/linzen;Diet;Vegetables;Lentils;0,065;10,7;0,2;0,2;0,4;2,1;0,3;0,1;2,33;0;0;0;0
chickpeas/kikkererwten;Diet;Vegetables;Chickpeas;3;13,8;0,2;0,2;0,4;2,1;0,3;0,1;2,33;0;0;0;0
haricot/snijboon;Diet;Vegetables;Harricot;6,65;2,4;0,2;0,2;0,4;2,1;0,3;0,1;2,33;0;0;0;0
green beans/groene bonen;Diet;Vegetables;Green_beans;5;2,4;0,2;0,2;0,4;2,1;0,3;0,1;2,33;0;0;0;0
chicory/witloof;Diet;Vegetables;Chicory;85;3,1;0;0;0;0;3,5;0;0;0;0;0;15
green chicory /groenloof;Diet;Vegetables;Green_chicory ;85;4;0;0;0;0;3,5;0;0;0;0;0;15
iceberg lettuce/ ijsbergsla;Diet;Vegetables;Iceberg_lettuce;272;1,2;0;0;0;0;3,5;0;0;0;0;0;15
red onions/ rode ajuin;Diet;Vegetables;Red_onions;105,8;3,97;0;0;0,5;0,6;0,5;0;0;0;0;0;0,9
shallots/sjalloten;Diet;Vegetables;Shallots;24,7;3,2;0;0;0,5;0,6;0,5;0;0;0;0;0;0,9
garlic/knoflook;Diet;Vegetables;Garlic;5;2,1;0;0;0,5;0,6;0,5;0;0;0;0;0;0,9
leek/ prei;Diet;Vegetables;Leek;168,75;1,8;0;0;0,5;0,6;0,5;0;0;0;0;0;0,9
chives/bieslook;Diet;Vegetables;Chives;5;2,5;0;0;0,5;0,6;0,5;0;0;0;0;0;0,9
fennel/ knolvenkel;Diet;Vegetables;Fennel;289;3,1;0;0;0,4;0,7;0,6;0;0;0;0;0;0
celeriac/knolselderij;Diet;Vegetables;Celeriac;749;1,8;0;0;0,4;0,7;0,6;0;0;0;0;0;0
celery/selderij;Diet;Vegetables;Celery;581;1,6;0;0;0,4;0,7;0,6;0;0;0;0;0;0
parsley/peterselie;Diet;Vegetables;Parsley;0,05;3,3;0;0;0,4;0,7;0,6;0;0;0;0;0;0
chervil/kervel;Diet;Vegetables;Chervil;0,05;11,3;0,1;0,1;0,7;0,8;0,7;0,1;0;0;0;0;0
parsnip/pastinaak;Diet;Vegetables;Parsnip;340;4,9;0,1;0,1;0,7;0,8;0,7;0,1;0;0;0;0;0
carrots/wortels;Diet;Vegetables;Carrots;87;2,8;0,1;0,1;0,7;0,8;0,7;0,1;0;0;0;0;0
arugula/rucola;Diet;Vegetables;Arugula;15;1,6;0,1;0,2;0,7;0,7;0,4;0;0;0;0;0;0,3
brussels sprouts/spruitjes;Diet;Vegetables;Brussels_sprouts;12;3,8;0,1;0,2;0,7;0,7;0,4;0;0;0;0;0;0,3
kale/boerenkool;Diet;Vegetables;Kale;165;3,6;0,1;0,2;0,7;0,7;0,4;0;0;0;0;0;0,3
white cabbage;Diet;Vegetables;White_cabbage;1402,5;2,5;0,1;0,2;0,7;0,7;0,4;0;0;0;0;0;0,3
green cabbage/ groene kool;Diet;Vegetables;Green_cabbage;1402,5;2,5;0,1;0,2;0,7;0,7;0,4;0;0;0;0;0;0,3
red cabbage/ rode kool;Diet;Vegetables;Red_cabbage;1328;2,1;0,1;0,2;0,7;0,7;0,4;0;0;0;0;0;0,3
broccoli/broccoli;Diet;Vegetables;Broccoli;200;2,6;0,1;0,2;0,7;0,7;0,4;0;0;0;0;0;0,3
cauiflower/bloemkool;Diet;Vegetables;Cauliflower;640;2;0,1;0,2;0,7;0,7;0,4;0;0;0;0;0;0,3
turnip/knolraap;Diet;Vegetables;Turnip;122;1,8;0,1;0,2;0,7;0,7;0,4;0;0;0;0;0;0,3
rutabaga/koolraap;Diet;Vegetables;Rutabaga;836;2,3;0,1;0,2;0,7;0,7;0,4;0;0;0;0;0;0,3
bok choy/paksoi;Diet;Vegetables;Bok_choy;70;1;0,1;0,2;0,7;0,7;0,4;0;0;0;0;0;0,3
radish/radijs;Diet;Vegetables;Radish;3,66;1,6;0;0;0,3;0,6;0,4;0;0;0;0;0;0,3
capers/kappertjes (canned);Diet;Vegetables;Capers;1;3,2;0;0;0,3;0,6;0,4;0;0;0;0;0;0,3
potatoes/aardappel;Diet;Vegetables;Potatoes;147,2;3,7;0;0,1;0,2;0,2;0,1;0,1;0;0;13,4;0;0
eggplant/aubergine;Diet;Vegetables;Eggplant;280,5;3;0;0,1;0,2;0,2;0,1;0,1;0;0;0;0;0
tomatoes/tomaten;Diet;Vegetables;Tomatoes;142,5;1,2;0;0,1;0,2;0,2;0,1;0,1;0;0;0;0;0
Cherry tomatoes;Diet;Vegetables;Cherry_tomatoes;10;1,2;0;0,1;0,2;0,2;0,1;0,1;0;0;0;0;0
pepper/paprika;Diet;Vegetables;Paprika;148;1,9;0,2;0,2;0,3;0,8;0,1;0,1;0;0;0;0;0
sweet potato/zoete aardappel;Diet;Vegetables;Sweet_potato;113;3;0,2;0,2;0,3;0,8;0,1;0,1;0;0;13,4;0;0
zucchini/courgette;Diet;Vegetables;Zucchini;456,5;1,5;0,1;0;0,3;0,3;0,2;0;0;0;0;0;0,3
cucumber/komkommer;Diet;Vegetables;Cucumber;385,4;0,7;0,1;0;0,3;0,3;0,2;0;0;0;0;0;0,3
pumpkin/pompoen;Diet;Vegetables;Pumpkin;2415;0,5;0,1;0;0,3;0,3;0,2;0;0;0;0;0;0,3
gherkin;Diet;Vegetables;Gherkin;22;;0,1;0;0,3;0,3;0,2;0;0;0;0;0;0,3
olive green/groene olijf;Diet;Vegetables;Olive_green;4;3,3;0,2;0;0,5;0,6;0,3;0,4;0;0;0;0;0
olive black/zwarte olijf;Diet;Vegetables;Olive_black;4;3;0,2;0;0,5;0,6;0,3;0,4;0;0;0;0;0
beets/biet;Diet;Vegetables;Beets;112;2,8;0,1;0,3;0,4;0,7;0,2;0;0;0;0;0;0,4
spinach/spinazie;Diet;Vegetables;Spinach;4,5;2,2;0,1;0,3;0,4;0,7;0,2;0;0;0;0;0;0,4
corn/mais;Diet;Vegetables;Corn;175;2;0,1;0;0,5;0,7;0,1;0,5;0;3,3;0;0;0
cassava/cassave;Diet;Vegetables;Cassava;180;1,8;0;0;0;0;0;0;0;0;0;0;0
basil /basilicum;Diet;Vegetables;Basil;0,05;1,6;0;0;0;0;0;0;0;0;0;0;0
asparagus/asperge;Diet;Vegetables;Asparagus;15;2,1;0,1;0,2;0,4;0,7;0,4;0,1;0;0;0;0;1,5
artichoke/artisjok;Diet;Vegetables;Artichoke;439,9;5,4;0;0;0;0;0;0;0;0;0;0;12,2
rhubarb/rabarber;Diet;Vegetables;Rhubarb;85;1,8;0;0;0;0;0;0;0;0;0;0;0
Mushrooms/chamignon;Diet;Vegetables;Mushrooms;14,88;1;0,2;0;0,3;1,8;0,1;0,1;0;0;0;1,2;0
jackfruit/jackfruit;Diet;Vegetables;Jackfruit;5000;1,5;0;0;0;0;0;0;0;0;0;0;0
Topinambur/aardpeer;Diet;Vegetables;Topinambur;240;4,9;0,1;0,1;0,7;0,8;0,7;0,1;0;0;0;0;0
